name,tel,address
7064,旗山延平門市,高雄市旗山區延平一路644號
7060,廣三門市,屏東市廣東路682-2號
7011,中山門市,屏東縣屏東市中山路17號
7076,數位家電體驗館-屏東館門市,屏東縣屏東市公園路46號
7068,屏東自由門市,屏東縣屏東市自由路621號
7005,廣東門市,屏東縣屏東市廣東路246號
7033,廣二門市,屏東縣屏東市廣東路605號
7029,內埔門市,屏東縣內埔鄉內田村廣濟路219號
7016,潮州門市,屏東縣潮州鎮中山路152.154號
7051,延平門市,屏東縣潮州鎮延平路120-2號
7034,林邊門市,屏東縣林邊鄉仁和村中山路355號
7023,東港門市,屏東縣東港鎮中山路54-2號
7075,東港中正門市,屏東縣東港鎮中正路一段308號
8006,宜蘭中山(二)門市,宜蘭市中山路二段107、109、111號一樓
8004,宜蘭中山門市,宜蘭縣宜蘭市中山路三段122號
8015,宜蘭復興門市,宜蘭縣宜蘭市復興路18號
8021,宜蘭頭城門市,宜蘭縣頭城鎮青雲路三段159、161號
8011,宜蘭礁溪門市,宜蘭縣礁溪鄉中山路一段126~128號
8022,羅東中正二門市,宜蘭縣羅東鎮中正路206、206-1號
8019,羅東南門門市,宜蘭縣羅東鎮南門路18、18-1號
8005,羅東興東門市,宜蘭縣羅東鎮興東路139號
8003,宜蘭蘇澳門市,宜蘭縣蘇澳鎮中山路一段4號1、2樓
8025,數位家電體驗館-台東館門市,台東縣台東市中華路1段385號
8018,台東更生門市,台東縣台東市更生路452號
8010,台東新生門市,台東縣台東市新生路284號
8013,花蓮建國門市,花蓮縣花蓮市中山路465號
8026,花蓮中正五門市,花蓮縣花蓮市中正路359、361、363、365號
8009,花蓮中正(二)門市,花蓮縣花蓮市中正路515、517號
8016,花蓮中華(三)門市,花蓮縣花蓮市主權里7鄰中華路458號
8023,花蓮林森門市,花蓮縣花蓮市林森路339號
8012,花蓮吉安門市,花蓮縣吉安鄉中山路三段15-1號
8007,花蓮建國(二)門市,花蓮縣吉安鄉建國路一段137之2號
8008,花蓮玉里門市,花蓮縣玉里鎮中山路二段62、64號
